n,islands
0,5.30132291897
1,6.47311411116
2,6.49287658807
3,7.15331045744
4,7.85183866895
5,8.39214494376
6,8.58427372924
7,9.19315202465
8,10.1673946036
9,9.8507753759
10,10.1705629102
11,10.6057447989
12,10.9946681792
13,11.0247891917
14,11.019438872
15,11.4195166372
16,11.9148503602
17,11.9131794279
18,11.9036684114
19,11.8851943981
20,11.9211111477
21,11.8721355331
22,11.9210863813
23,11.9208053548
24,11.8951241003
25,11.8975507353
26,11.9122989108
27,11.921141825
28,11.9086277129
29,11.9115328691
30,11.9206747317
31,11.9182085962
32,11.9211512249
33,11.9211208998
34,11.9189174246
35,11.9211389674
36,11.920697801
37,11.9211260752
38,11.91699169
39,12.3915445343
40,12.8283774048
41,12.8578391374
42,12.8416351677
43,12.8530251484
44,12.7743099997
45,12.8585636353
46,12.8082272669
47,12.8588731109
48,12.7758130618
49,12.8591292249
50,12.7053467319
51,12.8591579072
52,12.8460246679
53,12.8587713145
54,12.8532731922
55,12.8582208319
56,12.8555892876
57,12.8490447824
58,12.8579797381
59,12.8582985149
60,12.8383948779
61,12.8584355338
62,12.8590771316
63,12.8585248433
64,12.8590665416
65,12.8569309867
66,12.8579861965
67,12.8588784477
68,12.8544783074
69,12.858608449
70,12.8572568013
71,12.8589881922
72,12.8579296723
73,12.8592045045
74,12.8577578468
75,12.8591976101
76,12.8467246422
77,12.8587836308
78,12.8501220639
79,12.8579815378
80,12.8514312263
81,12.8583173501
82,12.8590933538
83,13.2002311614
84,13.6997971595
85,13.8056688579
86,12.8530753482
87,13.7828338729
88,13.8371756423
89,13.8105355623
90,13.8402113446
91,13.7445067252
92,13.8236179451
93,13.7127505728
94,13.8301517825
95,13.8398062993
96,13.8394868116
97,13.8401318346
98,13.8007823566
99,13.6694548948
100,13.8269017195
101,13.838304201
102,13.8226296097
103,13.8356671031
104,13.832611205
105,13.7976299446
106,13.8055238822
107,13.6621116458
108,13.8400341832
109,13.8175465524
110,13.8199651165
111,13.8385939876
112,13.6810580174
113,13.6664884653
114,13.8371598959
115,13.8314094262
116,13.8120841622
117,13.8384240742
118,13.8394251852
119,13.8131234808
120,13.8148230815
121,13.838350581
122,13.8284282883
123,13.7314180527
124,13.8400946979
125,13.8401490731
126,13.7438595766
127,13.8401271567
128,13.8392577085
129,13.8298042345
130,13.8387220308
131,13.8389418742
132,13.840067692
133,13.8263873633
134,13.8400121583
135,13.8401464801
136,13.8079517745
137,13.8401447243
138,13.8379889698
139,13.8396607012
140,13.8387854329
141,13.8401815871
142,13.8397006714
143,13.8402172589
144,13.8345237097
145,13.8086348961
146,13.8402069482
147,13.7855120162
148,13.8248297941
149,13.8384301163
150,13.8401546585
151,13.8346760162
152,13.8385312728
153,13.8392478473
154,13.8355011591
155,13.8397919168
156,13.8400531013
157,13.8401160314
158,13.8201128066
159,13.8325396584
160,13.8322556454
161,13.8380923213
162,13.8172797014
163,13.8389410054
164,13.8401539122
165,13.8399289066
166,13.8391962435
167,13.8386687593
168,13.8399903457
169,13.8373815812
170,13.8395179686
171,13.8402125584
172,13.8387331803
173,13.8367900462
174,13.7753262448
175,13.8401853085
176,13.8398524708
177,13.8401392462
178,13.8400922817
179,13.8400952669
180,13.8299565754
181,13.8367146632
182,13.8402059197
183,13.8313915383
184,13.7715732584
185,13.8400598108
186,13.8401949994
187,13.84014089
188,13.8385217021
189,13.8394189825
190,13.8136827666
191,13.8400908706
192,13.8290334797
193,13.8401955869
194,13.8356969245
195,13.8383003858
196,13.8378072075
197,13.8397642212
198,13.839385418
199,13.8396638136
200,13.8382906472
201,13.8400678999
202,13.839206476
203,13.8399627697
204,13.8398470082
205,13.8385469805
206,13.7743304044
207,13.8400853647
208,13.8401870283
209,13.8402038701
210,13.8399913561
211,13.8397701967
212,13.839618891
213,13.8368483014
214,13.8402095476
215,13.8398916173
216,13.8402046323
217,13.8322685115
218,13.8399170137
219,13.8399886476
220,13.8369933581
221,13.8400312804
222,13.8382359734
223,13.8396442377
224,13.8400156187
225,13.840145663
226,13.8399791683
227,13.8397763321
228,13.8331312792
229,13.8400539544
230,13.8401207767
231,13.8400483997
232,13.8288814419
233,13.8398444366
234,13.8398838405
235,13.8347751418
236,13.8398838405
237,13.8381614124
238,13.8398838405
239,13.8388387127
240,13.8249173246
241,13.8155331811
242,13.8345431499
243,13.8390328454
244,13.8394476872
245,13.8336939205
246,13.8391422961
247,13.8367243461
248,13.7941396268
249,13.8391008362
250,13.8344621371
251,13.838179479
252,13.8398791349
253,13.8199209057
254,13.8399431271
255,13.8395898031
256,13.8402065736
257,13.8378256083
258,13.8394436816
259,13.8396701791
260,13.8275327345
261,14.2141328495
262,14.8082491509
263,13.8383001698
264,14.1631799185
265,13.8401503106
266,14.8643497331
267,14.1270047174
268,14.847110077
269,13.7780168856
270,14.8577447779
271,14.6442524327
272,14.5216900891
273,14.6299156933
274,14.8602156075
275,14.518351129
276,14.7022094028
277,14.8600486715
278,14.188196128
279,14.7196843501
280,14.786293575
281,14.3572380477
282,14.8238133799
283,14.801188821
284,14.8562042861
285,14.8483121756
286,14.8629907445
287,14.861501623
288,14.8634340069
289,14.8641126112
290,14.8640096216
291,14.8453911742
292,14.7164933876
293,14.8564479
294,14.7985342699
295,14.8435192628
296,14.8648074698
297,14.8588544059
298,14.8615416929
299,14.8184688338
300,14.862797197
301,14.8630828328
302,14.6958272867
303,14.8641262684
304,14.8639174991
305,14.8536827889
306,14.8637998875
307,14.8648194297
308,14.864634498
309,14.7150550565
310,14.8647594642
311,14.8477266356
312,14.847651241
313,14.8284569396
314,14.8617145831
315,14.8647653022
316,14.8636703746
317,14.8573623846
318,14.863496155
319,14.8648195749
320,14.8646641443
321,14.7959769774
322,14.8382450704
323,14.8584392336
324,14.8642301334
325,14.8609911987
326,14.8603679093
327,14.8604862123
328,14.8596579298
329,14.8635147748
330,14.8487789607
331,14.8540533765
332,14.8644627884
333,14.8647090412
334,14.8647483815
335,14.86166261
336,14.8637199226
337,14.8586451069
338,14.8647283018
339,14.8641069861
340,14.8179892135
341,14.8627366991
342,14.8383999602
343,14.8638974674
344,14.8647762954
345,14.8636335018
346,14.8451859302
347,14.8604036581
348,14.8596163225
349,14.8645340376
350,14.8647594927
351,14.8091859649
352,14.8568438285
353,14.8472006324
354,14.8640416691
355,14.8486574656
356,14.8530044566
357,14.8645814965
358,14.8595969748
359,14.8557434191
360,14.855257317
361,14.8579398111
362,14.7789471321
363,14.8469940387
364,14.8624166411
365,14.8625167912
366,14.8648196074
367,14.8647921231
368,14.8642289983
369,14.8611691667
370,14.864810816
371,14.86479066
372,14.8573274539
373,14.8540998645
374,14.8644385862
375,14.8645937545
376,14.8646884341
377,14.8642006653
378,14.8629894406
379,14.8538145398
380,14.8467044661
381,14.8516786283
382,14.8544037092
383,14.8611672287
384,14.8638746418
385,14.8647577602
386,14.8640656189
387,14.864678361
388,14.8647674538
389,14.864628997
390,14.864805919
391,14.8626470354
392,14.8648192739
393,14.8647270804
394,14.8580486637
395,14.8616449679
396,14.8647964055
397,14.8646969158
398,14.8616597431
399,14.8593596458
400,14.8647530078
401,14.8647530078
402,14.8507070829
403,14.8643341013
404,14.8560507475
405,14.8601036049
406,14.8644561364
407,14.864815557
408,14.8634372967
409,14.8624228016
410,14.8646748348
411,14.8613191357
412,14.8647817926
413,14.8616129446
414,14.8642191022
415,14.864345475
416,14.8645247519
417,14.8647954413
418,14.8644815852
419,14.8647510298
420,14.8634811258
421,14.8623173594
422,14.8592519722
423,14.8641337014
424,14.8601119337
425,14.8641490317
426,14.8633308688
427,14.8642555346
428,14.8640243958
429,14.8645309734
430,14.8638097724
431,14.8643298326
432,14.8648179653
433,14.8642561264
434,14.8632049071
435,14.8643087229
436,14.8636356613
437,14.8617238163
438,14.8212607623
439,14.8605964082
440,14.8645894454
441,14.8343742336
442,14.8613871856
443,14.8517775836
444,14.8592944522
445,14.8628936997
446,14.8522036559
447,14.8622900712
448,14.8645073237
449,14.8556794542
450,14.8646134993
451,14.8498952894
452,14.8604623805
453,14.8648045135
454,14.8643071366
455,14.8618994044
456,14.8640166877
457,14.8647137031
458,14.8588351442
459,14.8648011727
460,14.8605729156
461,14.8631396204
462,14.8611228211
463,14.8646590188
464,14.8628756526
465,14.8634759065
466,14.8631534469
467,14.8635365
468,14.8637554408
469,14.8589757176
470,14.8618599754
471,14.8644355914
472,14.8627330629
473,14.8641187525
474,14.8552747011
475,14.8648184366
476,14.8376266395
477,14.8648189032
478,14.8646357686
479,14.863860955
480,14.8597696719
481,14.8641854944
482,14.8615048463
483,14.8611815494
484,14.8602283131
485,14.864702221
486,14.8626069963
487,14.8625791812
488,14.8647528491
489,14.8647818212
490,14.864819294
491,14.8608311707
492,14.8646030073
493,14.8558783391
494,14.86442832
495,14.8640342471
496,14.864770137
497,14.8610368526
498,14.864373352
499,14.8627112401
500,14.8617164699
501,14.8645959706
502,14.8644282618
503,14.8645824927
504,14.863926805
505,14.8401735673
506,14.8622766269
507,14.8637844213
508,14.8564405897
509,14.8648006185
510,14.8648147812
511,14.8560700033
512,14.8623187008
513,14.8640960499
514,14.8614611528
515,14.8637327579
516,14.8643982314
517,14.8634728247
518,14.8409036968
519,14.8647167413
520,14.8648044376
521,14.8648156171
522,14.8576326718
523,14.8540442385
524,14.8635988191
525,14.8647242155
526,14.8646214216
527,14.8601427518
528,14.8642070844
529,14.8648120998
530,14.8639835144
531,14.8648190034
532,14.8613602386
533,14.8646066553
534,14.8255831538
535,14.8631334395
536,14.859909473
537,14.8632027005
538,14.7939531004
539,14.8584785745
540,14.8637111067
541,14.8645953878
542,14.8648196591
543,14.8648196666
544,14.8647048373
545,14.8617973649
546,14.8582394116
547,14.864753509
548,14.8646609023
549,14.8628882719
550,14.8631551969
551,14.8626457804
552,14.8645626727
553,14.8647910527
554,14.8618778589
555,14.8463343783
556,14.8648135533
557,14.8576918025
558,14.859262034
559,14.8574380711
560,14.8645407511
561,14.8623098108
562,14.8647841648
563,14.8647321215
564,14.863345014
565,14.8638408835
566,14.8628016259
567,14.8640019454
568,14.8644744821
569,14.8621359757
570,14.8648193981
571,14.8483718822
572,14.8647987277
573,14.8575993549
574,14.8629412393
575,14.8573958528
576,14.8646617954
577,14.8648070041
578,14.8610314827
579,14.8644939827
580,14.864463841
581,14.8200902439
582,14.8617982188
583,14.8600027861
584,14.8608111146
585,14.864301193
586,14.8628899304
587,14.8644624892
588,14.861456917
589,14.858173496
590,14.8642337523
591,14.8646752966
592,14.8646213454
593,14.8614218105
594,14.8632713885
595,14.8592210125
596,14.8648139666
597,14.8644812942
598,14.8635018074
599,14.8404805945
600,14.8605764011
601,14.8612984735
602,14.859189835
603,14.8615522575
604,14.8643111238
605,14.8207793667
606,14.8577444034
607,14.8647824566
608,14.8641853594
609,14.8629119665
610,14.8615268204
611,14.8478058543
612,14.851815889
613,14.8625218021
614,14.8638791671
615,14.8645689863
616,14.8602858599
617,14.8341644629
618,14.8609702696
619,14.8520254282
620,14.8622855815
621,14.8424782623
622,14.8523985677
623,14.8642073709
624,14.8632060607
625,14.863103348
626,14.8508064231
627,14.8639305048
628,14.8648157573
629,14.8645564387
630,14.8644519522
631,14.8642914576
632,14.862642957
633,14.8644582979
634,14.8635786078
635,14.8586271918
636,14.8646381469
637,14.8633616773
638,14.8619743629
639,14.8623219403
640,14.8642293418
641,14.8647950648
642,14.8642850495
643,14.8645290227
644,14.8465539173
645,14.8403676921
646,14.8626109281
647,14.8648034769
648,14.8647605746
649,14.8580922242
650,14.8452707999
651,14.8585623021
652,14.8587127367
653,14.8615323131
654,14.8634240718
655,14.8226380932
656,14.8616640731
657,14.8644492417
658,14.8641919736
659,14.8636768614
660,14.8647975
661,14.8644628585
662,14.8633850843
663,14.8539582062
664,14.8645124354
665,14.8644300761
666,14.8504357474
667,14.8477304535
668,14.8540962722
669,14.8639500921
670,14.8576573423
671,14.8410361365
672,14.8449770124
673,14.8643613966
674,14.8457675267
675,14.8647275949
676,14.8645382983
677,14.8647575503
678,14.8644447805
679,14.8642123766
680,14.8502615746
681,14.8462776801
682,14.8613498917
683,14.8613596971
684,14.8513435937
685,14.8642027556
686,14.8641970781
687,14.8648184158
688,14.8618657794
689,14.8611195685
690,14.8546888917
691,14.8646357698
692,14.8613130778
693,14.848259986
694,14.8648056367
695,14.8564664388
696,14.8399471105
697,14.8588375521
698,14.86400682
699,14.8628719935
700,14.8640091176
701,14.8408563561
702,14.8385359933
703,14.8648028497
704,14.8643559287
705,14.8470619597
706,14.8612391633
707,14.8393082534
708,14.834221667
709,14.8641119007
710,14.8551228627
711,14.8644790318
712,14.8501077992
713,14.8628956401
714,14.8438078905
715,14.8629220493
716,14.8621380477
